Fiscal Year,Awardee,Project Name,Award,City,County
2019,County Commissioners of Carroll County,CHANGE Roof Replacement,90000.00,Westminster,Carroll
2019,County Commissioners of Garrett County,Parkwood Village,750000.00,Oakland,Garrett
2019,Town of Betterton,Wheeler Avenue,800000.00,Betterton,Kent
2019,County Commissioners of Allegany County,Locust Grove Sewage,800000.00,Cumberland,Allegany
2019,"Wicomico County, Maryland",Downpayment Assistance,300000.00,Salisbury,Wicomico
2019,Town of Elkton,Neighborhood Community Center,800000.00,Elkton,Cecil
2019,Town of Cecilton,Senior Housing,300000.00,Cecilton,Cecil
2019,"Talbot County, Maryland",St. Michaels Senior Center,200000.00,St. Michaels,Talbot
2019,City of Havre de Grace,Sewer Improvements,350000.00,Havre de Grace,Harford
2019,Town of Easton,Children's Center,800000.00,Easton,Talbot
2019,County Commissioners of Carroll County,Boys and Girls Club,350000.00,Westminster,Carroll
2019,"Wicomico County, Maryland",Housing Rehabilitation Program,350000.00,Salisbury,Wicomico
2019,Town of Cecilton,Head Start,500000.00,Cecilton,Cecil
2019,County Commissioners of Washington County,YMCA After-School Program,51455.00,Hancock,Washington
2019,"Garrett County, Maryland, Community Action Committee, Inc.",Bloomington Water,320414.00,Bloomington,Garrett
2019,County Commissioners of Somerset County,Housing Rehabilitation,335000.00,Princess Anne,Somerset
2019,Town of St. Michaels,Pump Station Replacement,10000.00,Betterton,Kent
2019,County Commissioners of Caroline County,Benedectine Group Homes,336000.00,Denton,Caroline
2019,Town of Friendsville,Sewer Improvements,304586.00,Friendsville,Garrett
2019,Town of Denton,Blight Removal,700000.00,Denton,Caroline
2019,Town of St. Michaels,St. Michaels Community Center,40000.00,St. Michaels,Talbot
2019,City of Havre de Grace,Fire House ADA,100000.00,Havre de Grace,Allegany
2019,Town of Grantsville,Senior Center Improvements,35000.00,Grantsville,Garrett
2019,County Commissioners of Allegany County,Oldtown Preliminary Engineering,40000.00,Oldtown,Allegany
2019,Town of Willards,Comprehensive Plan Revisions,30000.00,Willards,Wicomico
2019,Town of Kitzmiller,Community Center Improvements,240000.00,Kitzmiller,Garrett
2019,County Commissioners of Allegany County,Flintstone Preliminary Engineering,40000.00,Flintstone,Allegany
2019,Town of Betterton,Pump Station Replacement,98500.00,Betterton,Kent
2019,City of Westminster,Building Second Chances,700000.00,Westminster,Carroll
2019,"Talbot County, Maryland",Housing for the Homeless,414000.00,Easton,Talbot
2019,County Commissioners of Worcester County,Diakonia Shelter,276128.00,Ocean City,Worcester
2019,"Cecil County, Maryland",Warwick Mushrooms,514579.00,Warwick,Cecil
